No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Link,JLCPCB Price
1,9,100nF,"C5,C6,C7,C8,C9,C10,C11,C12,C13",C0402,100nF,CL05B104KO5NNNC,SAMSUNG(三星),C1525,LCSC,https://www.lcsc.com/product-detail/C1525.html?s_z=n_q_C1525,0.0002
2,1,TF-01A,CARD1,TF-SMD_TF-01A,,TF-01A,韩国韩荣,C91145,LCSC,https://www.lcsc.com/product-detail/C91145.html?s_z=n_q_C91145,0.028
3,1,SD05,D1,SOD-323_L1.8-W1.3-LS2.5-FD,,SD05,MDD(辰达半导体),C502527,LCSC,https://www.lcsc.com/product-detail/C502527.html?s_z=n_q_C502527,0.0043
4,1,KT-0603Y,LED1,LED0603-R-RD,,KT-0603Y,KENTO,C2287,LCSC,https://www.lcsc.com/product-detail/C2287.html?s_z=n_q_C2287,0.0016
5,2,680Ω,"R1,R2",R0603,680Ω,0603WAF6800T5E,UNI-ROYAL(厚声),C23228,LCSC,https://www.lcsc.com/product-detail/C23228.html?s_z=n_q_C23228,0.0003
6,1,GL3224-OIY04,U1,HQFN-32_L5.0-W5.0-P0.50-BL-EP3.0,,GL3224-OIY04,GENESYS(创惟),C157357,LCSC,https://www.lcsc.com/product-detail/C157357.html?s_z=n_q_C157357,0.2009
7,1,AM90,USB1,USB-AM-TH_AM90,,AM90,SHOU HAN(首韩),C404965,LCSC,https://www.lcsc.com/product-detail/C404965.html?s_z=n_q_C404965,0.0102
,1,PCB,N/A,N/A,N/A,N/A,JLCPCB,N/A,N/A,N/A,2.73
,1,PCBA+Fees+Shipping,N/A,N/A,N/A,N/A,JLCPCB,N/A,N/A,N/A,42.7326
,1,Total,N/A,N/A,N/A,N/A,JLCPCB,N/A,N/A,N/A,48.44
